,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
5735,HGEN,18.2,2016-09-01,248284.4,HGEN,2.3,2017-09-01,462051.6
5736,HGEN,13.55,2017-03-09,28861.5,HGEN,3.65,2018-03-09,23506.0
5737,HGR,26.56,2011-03-11,2682560.0,HGR,21.25,2012-03-12,2057000.0
5738,HGR,20.78,2012-02-29,5988796.0,HGR,29.8,2013-02-28,6174560.0
5739,HGR,31.06,2013-03-19,6802140.0,HGR,34.56,2014-03-19,2260224.0
5740,HGR,35.41,2014-04-04,7931839.999999999,HGR,24.37,2015-04-06,6165073.86
5741,HI,19.79,2009-11-24,16496944.0,HI,19.72,2010-11-24,11374496.0
5742,HI,20.04,2010-11-23,7358688.0,HI,20.22,2011-11-23,4672842.0
5743,HI,20.21,2011-11-28,9876627.0,HI,21.21,2012-11-27,12471480.0
5744,HI,19.9,2012-11-26,7548069.999999999,HI,28.08,2013-11-26,18810792.0
5745,HI,28.37,2013-11-25,7061293.0,HI,33.25,2014-11-25,7100271.5
5746,HI,33.73,2014-11-19,17317083.189999998,HI,29.0,2015-11-19,16690196.0
5747,HI,30.14,2015-11-18,8145244.58,HI,34.0,2016-11-17,14370406.0
5748,HI,33.05,2016-11-16,12516398.549999999,HI,38.85,2017-11-16,22333621.8
5749,HI,38.65,2017-11-15,6016838.75,HI,46.27,2018-11-15,15971524.870000001
5750,HI,48.33,2018-11-13,24978732.21,HI,32.18,2019-11-13,15706221.32
5751,HIBB,33.65,2011-03-29,12958615.0,HIBB,55.02,2012-03-28,15064476.0
5752,HIBB,54.18,2012-03-26,19835298.0,HIBB,55.17,2013-03-26,16490313.0
5753,HIBB,56.01,2013-04-01,17671155.0,HIBB,52.8,2014-04-01,18147360.0
5754,HIBB,54.71,2014-03-31,32820529.0,HIBB,49.58,2015-03-31,10004202.82
5755,HIBB,49.58,2015-03-31,10004202.82,HIBB,36.97,2016-03-30,15360517.42
5756,HIBB,35.42,2016-03-28,9075702.02,HIBB,27.85,2017-03-28,17173813.900000002
5757,HIBB,27.85,2017-03-28,17173813.900000002,HIBB,22.65,2018-03-28,14003249.25
5758,HIBB,23.95,2018-04-02,19807991.2,HIBB,22.95,2019-04-01,20822741.55
5759,HII,40.33,2012-03-29,27670413.0,HII,53.52,2013-04-01,11694120.0
5760,HII,45.47,2013-02-27,16614738.0,HII,100.67,2014-02-27,96472061.0
5761,HII,100.67,2014-02-27,96472061.0,HII,143.0,2015-02-27,46923019.0
5762,HII,132.0,2015-02-19,141764172.0,HII,131.83,2016-02-19,47652721.93000001
5763,HII,132.0,2016-02-18,80966952.0,HII,211.0,2017-02-17,115646146.0
